"挙動ID","表示名","使用欄","分類","起動条件","基本処理","既定間隔秒","既定発射物ID","敵側対象","捕獲後対象","敵側既定効果","捕獲後既定効果","関連特殊タグ","敵側向き制御","捕獲後向き制御","移動制御","重複ルール","実装状態","備考","","","","","","",""
"contact_basic","基本接触","敵挙動ID","近接","接触時","プレイヤーへ接触ダメージを与える基本挙動。ダメージ量はEnemiesタブの接触攻撃力と接触ダメージ種別を使う","0","none","player","none","none","none","contact_damage","none","none","none","重複不可","未実装","最も基本的な近接敵用","","","","","","",""
"jump_attack","跳ね攻撃","敵挙動ID","近接","一定間隔","一定間隔で小さく跳ね、着地点周辺で接触判定を強める","2","none","player","none","none","none","small","none","none","jump","重複不可","未実装","化けキノコ用。移動AIはjump_chase側で補助","","","","","","",""
"front_guard","前方ガード","敵挙動ID","防御","常時","敵の正面方向から来る攻撃を軽減または無効化する","0","none","projectile,ring_item","none","none","none","shield,guard_contact","front","none","none","重複不可","未実装","盾カブトの敵時挙動。捕獲後の外側ガードとは別","","","","","","",""
"magnet_disturb","磁力妨害","敵挙動ID","妨害","常時","周囲のmetalタグを持つ対象に弱い吸引または軌道乱れを発生させる","0","none","metal","none","none","none","metal","none","none","none","強い方を優先","未実装","プレイヤーの金属アイテムを少し乱す敵時挙動","","","","","","",""
"shoot_web","糸発射","両方","遠距離・妨害","一定間隔","糸の発射物を撃つ。敵が使う場合はプレイヤー、捕獲後は敵を対象にする","2.5","web_thread","player","enemy","player:status_slow:0.6:2.5","enemy:status_slow:0.6:2.5","none","target_player","outward","none","重複時は発射数を増やさず効果時間のみ最大値","未実装","からまりクモ用。糸に当たると確定鈍足","","","","","","",""
"physical_resist","物理耐性","敵挙動ID","耐性","被弾時","物理ダメージを軽減し、魔法系ダメージには弱くする","0","none","ring_item","none","none","none","stone,heavy","none","none","none","重複不可","未実装","鉱石ガニ用。耐性倍率は実装側定数または後で列追加","","","","","","",""
"countdown_explode","時限爆発","敵挙動ID","爆発","出現後または発見後","一定時間後に爆発し、周囲へ火属性ダメージを与える","3","explosion_small","area","none","none","none","fire,heavy","none","none","none","重複不可","未実装","爆弾ツチノコの敵時挙動","","","","","","",""
"chest_bite","宝箱噛みつき","敵挙動ID","奇襲","接近時","宝箱状態から近づいた対象に噛みつく","1.5","none","player","none","none","none","treasure","front","none","none","重複不可","未実装","ミミック用。初回だけ奇襲補正を入れてもよい","","","","","","",""
"spike_contact","トゲ接触","両方","近接・弾対策","接触時","トゲによる接触ダメージを与える。小型弾に触れた場合は破壊しやすい","0","none","player,ring_item","enemy,projectile","none","enemy:status_bleed_chance:25:3","spike,contact_damage","none","none","none","重複時は出血確率を加算しすぎない","未実装","トゲスライム用。敵時は純接触、捕獲後は弾消しも担当","","","","","","",""
"shoot_fire","火炎発射","両方","遠距離・属性","一定間隔","短射程の火炎を外側または対象方向へ吐く。糸・木・氷系に強い","2","fire_breath","player,projectile","enemy,projectile","none","none","fire","target_player","outward","none","重複時は発射頻度を上げすぎない","未実装","火吹きトカゲ用。火炎そのもののダメージは発射物側で管理","","","","","","",""
