テキスト	概要
ビルド完了　F5で更新を適用	自動リロードの更新準備完了通知
ビルド失敗　コンソールを確認	自動リロードの失敗通知
・{変更内容}	自動リロード通知に列挙するCodex変更概要
[*ビルド更新中：{変更内容}*]	自動リロードのビルド中タイトルバー表示
[*ビルド更新あり：{変更内容}*]	自動リロードの更新準備完了タイトルバー表示
[*ビルド失敗：{変更内容}*]	自動リロードの失敗タイトルバー表示
ダンジョンを掘る魔女	ウィンドウおよび紙芝居タイトル
v0.1.0	タイトル画面のバージョン表示
Press {act:Confirm} to Start	ゲームパッド使用時のタイトル開始案内
Press {act:Confirm} / Click to Start	キーボード・マウス使用時のタイトル開始案内
オプション	タイトル画面・メニュー画面の項目名
クレジット	タイトルメニューの項目名
{戻る操作} 戻る	クレジット画面の操作案内（スクロール操作は非表示）
Esc 戻る	画面を閉じる操作案内
ダンジョンを掘る魔女	クレジットの作品名
制作	クレジットの制作見出し
kagaya	クレジットの制作者名
使用ライブラリ	クレジットのライブラリ見出し
SDL3	クレジットの使用ライブラリ名
Special Thanks	クレジットの謝辞見出し
プレイヤーの皆様	クレジットの謝辞
画面	オプションの画面設定タブ
音量	オプションの音量設定タブ
操作	オプションの操作設定タブ・操作設定表の列見出し
基本	操作設定の基本分類
リング/アイテム	操作設定のリング・アイテム分類
マスター音量	全体音量の項目名
BGM	BGM音量の項目名
SE	効果音量の項目名
表示モード	画面設定の表示モード項目
ウィンドウサイズ	画面設定の解像度項目
明るさ	画面設定の明るさ項目
操作アイコン表示	画面設定の入力アイコン項目
画面揺れ	画面設定の画面揺れ項目
軽量化	画面設定または加工の項目名
VSync	画面設定の垂直同期項目
ウィンドウ	表示モードの設定値
フルスクリーン	表示モードの設定値
なし	未設定・効果なしなどの表示値
弱め	画面揺れの設定値
標準	画面揺れなどの設定値
自動	操作アイコンの設定値
キーボード	操作アイコンの設定値
ゲームパッド	操作アイコンの設定値
ON	設定の有効状態
OFF	設定の無効状態
未設定	操作割当がない状態
ゲーム全体の音量だよ　BGMとSEの両方にまとめて反映されるよ	全体音量の説明
BGMの音量	BGM音量の説明
効果音の音量	効果音量の説明
ウィンドウ表示とフルスクリーン表示を切り替えるよ	表示モードの説明
ウィンドウ時の画面サイズだよ	ウィンドウサイズの説明
画面全体の明るさを調整できるよ	明るさ設定の説明
操作アイコンの表示形式をキーボード・ゲームパッドから選ぼう　「自動」では最後に使った入力機器に合わせて切り替えるよ	操作アイコン設定の説明
被弾やボス演出などの画面揺れ演出の強さだよ	画面揺れ設定の説明
ONにすると光・暗幕・影・エフェクト・粒子数などを制限して、画面負荷を下げるよ	軽量化設定の説明
モニターの更新タイミングに描画を合わせる設定　ONにすると画面の裂けを抑えるけど、入力遅延やFPSに影響することがあるよ	VSync設定の説明
左へ移動／選択	操作設定の項目名
右へ移動／選択	操作設定の項目名
上へ移動／選択	操作設定の項目名
下へ移動／選択	操作設定の項目名
決定	操作設定または数量入力の決定ボタン
戻る	各種画面の戻るボタン
メニュー	操作設定の項目名
アイテム画面を開く	操作設定の項目名
オプション（タイトル画面）	操作設定の項目名
クレジット（タイトル画面）	操作設定の項目名
リングを投げる	操作設定の項目名
リングずらし	操作設定の項目名
リングずらし：左	操作設定の項目名
リングずらし：右	操作設定の項目名
リングずらし：上	操作設定の項目名
リングずらし：下	操作設定の項目名
選択アイテム使用	操作設定の項目名
リングへ入れる	操作設定の項目名
つかむ/置く	操作設定の項目名
並び替え	操作設定の項目名
サブ操作	操作設定の項目名
前へ切替	操作設定の項目名
次へ切替	操作設定の項目名
フルスクリーン切替	操作設定の項目名
アイテム保護切替	操作設定の項目名
プレイヤーの移動やカーソル移動	左移動操作の説明
プレイヤーの移動やカーソル移動	右移動操作の説明
プレイヤーの移動やカーソル移動	上移動操作の説明
プレイヤーの移動やカーソル移動	下移動操作の説明
決定したり、調べたり、話しかけたり	決定操作の説明
現在の画面を戻る、または操作をキャンセル	戻る操作の説明
メニューを開く	メニュー操作の説明
アイテム画面を直接開く	アイテム画面操作の説明
タイトル画面でオプションを開く	オプション操作の説明
タイトル画面でクレジットを開く	クレジット操作の説明
リング投げを発動する	リング投げ操作の説明
マウス右ボタンのドラッグまたはゲームパッドの右スティックで、リング中心をずらす固定操作	リングずらし操作の説明
リング中心を左へずらす	リング左移動操作の説明
リング中心を右へずらす	リング右移動操作の説明
リング中心を上へずらす	リング上移動操作の説明
リング中心を下へずらす	リング下移動操作の説明
ショートカットやアイテム画面で、選択中のアイテムを使う	アイテム使用操作の説明
選択中のアイテムをリングへ入れる	リング配置操作の説明
アイテム画面やリング画面で、アイテムをつかむ/置く	つかむ・置く操作の説明
アイテムやリング上の配置を整列・並び替えする	整列操作の説明
方向入力との組み合わせでアイテムショートカットを操作し、リング操作では全部外すなどのサブ操作を行う	サブ操作の説明
リング・分類・対象・行き先・ページなどを前へ切り替える	前切替操作の説明
リング・分類・対象・行き先・ページなどを次へ切り替える	次切替操作の説明
ウィンドウ表示とフルスクリーン表示を切り替える	フルスクリーン切替操作の説明
アイテムの保護ON/OFFを切り替える	保護切替操作の説明
キーボード/マウス	操作設定表の列見出し
操作割当の変更	操作割当ダイアログの見出し
×クリックで中止	操作割当ダイアログのマウス中止案内
B / ○を１秒長押しで中止	操作割当ダイアログのゲームパッド中止案内
ゲームパッドのボタンまたはスティック/トリガーを入力してね	ゲームパッド割当の詳細案内
キーまたはマウスボタンを入力してね	キーボード・マウス割当の詳細案内
この項目は変更できません	固定操作の変更不可ダイアログ
この入力は同じ場面で使う別の操作に割り当て済みだよ\n既存の割当を外して変更する？	同じ入力場面での操作割当競合の確認（変更）
この入力は同じ場面で使う別の操作に割り当て済みだよ\n既存の割当を外して追加する？	同じ入力場面での操作割当競合の確認（追加）
競合する操作: {操作名}	同じ入力場面で競合する操作の表示
操作割当の確認	操作割当確認ダイアログのタイトル
変更	操作割当確認の実行ボタン
変更	操作割当コマンド
削除	操作割当コマンド
初期化	操作割当コマンド
全初期化	操作設定の全初期化ボタン
全初期化	音量設定の全初期化ボタン
全初期化	画面設定の全初期化ボタン
初期化の確認	設定初期化確認のタイトル
すべての操作割当を初期状態に戻す？	操作設定初期化の確認文
初期化	設定初期化の実行ボタン
{決定操作} 割当操作  {戻る操作} 戻る  {前後切替操作} 設定切替	操作設定画面の操作案内
{戻る操作} 戻る  {前後切替操作} 設定切替	音量設定画面の操作案内
{決定操作} 切替  {戻る操作} 戻る  {前後切替操作} 設定切替	画面設定画面の操作案内
ステータス	メニューの項目名
アイテム	メニュー・各種汎用項目名
リング	メニュー・リング画面の項目名
ゲーム終了	メニューの項目名
MENU	メニューのタイトル
{決定操作} 決定  {戻る操作} 戻る	メニュー共通の操作案内
