"ID","名前","カテゴリ","説明文","レア度","基準レベル","価格","通常効果","軌道効果","攻撃力","ダメージ種別","掘削力","耐久力","重さ","画像番号","地面角度","リング角度","特殊タグ","効果テキスト","ST_C1","ST_R1","ST_S1","ST_C2","ST_R2","ST_S2","ST_C3","ST_R3","ST_S3","JK_C1","JK_R1","JK_S1","JK_C2","JK_R2","JK_S2","JK_C3","JK_R3","JK_S3","SC_C1","SC_R1","SC_S1","SC_C2","SC_R2","SC_S2","SC_C3","SC_R3","SC_S3","AS_C1","AS_R1","AS_S1","AS_C2","AS_R2","AS_S2","AS_C3","AS_R3","AS_S3","AS_C4","AS_R4","AS_S4","AS_C5","AS_R5","AS_S5","AS_C6","AS_R6","AS_S6","AS_C7","AS_R7","AS_S7","AS_C8","AS_R8","AS_S8","AS_C9","AS_R9","AS_S9"
"item_shovel","スコップ","掘削","魔女のまわりを回って土を掘る基本の道具。","1","1","190","none","terrain:dig:12:0","6","blunt","12","105","1.2","1","-35","outward","dig_tool,weapon,metal,medium,scoop","敵に打撃ダメージ（攻撃力6）｜土を掘れる（掘削力12）","81","48","25","65","30","13","26","11","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_forged_shovel","鍛造スコップ","掘削","鍛え直した金具で土をしっかり掘れるスコップ。基本品より丈夫で扱いやすい。","3","6","360","none","terrain:dig:16:0","9","blunt","16","130","1.25","197","-35","outward","dig_tool,weapon,metal,medium,scoop","敵に打撃ダメージ（攻撃力9）｜土を掘れる（掘削力16）","","","43","55","55","43","69","50","29","22","12","6","4","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_silver_shovel","銀のスコップ","掘削","銀色に磨かれた扱いやすいスコップ。普通のスコップより軽快に土を掘れる。","5","10","520","none","terrain:dig:20:0","11","blunt","20","150","1.25","2","-35","outward","dig_tool,weapon,metal,medium,scoop","敵に打撃ダメージ（攻撃力11）｜土を掘れる（掘削力20）","","","","","","50","","56","57","53","48","30","26","21","12","7","5","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_gold_shovel","金のスコップ","掘削","金色に輝く上質なスコップ。掘削力が高く、深い地層でも頼りになる。","10","24","1050","none","terrain:dig:32:0","19","blunt","32","210","1.35","3","-35","outward","dig_tool,weapon,metal,medium,scoop","敵に打撃ダメージ（攻撃力19）｜土を掘れる（掘削力32）","","","","","","","","","","","","","","","","","","76","21","79","83","27","72","56","17","37","26","13","27","17","12","25","16","10","22","14","9","20","13","8","18","11","7","16","10","6","13","9","5","11","7","4","9","6"
"item_star_shovel","星のスコップ","掘削","星くずを混ぜて鍛えた軽いスコップ。深い地層でも星明かりのように道を開く。","10","28","1310","none","terrain:dig:40:0","22","magic","40","260","1.25","198","-35","outward","dig_tool,weapon,metal,magic,medium,scoop","敵に魔法ダメージ（攻撃力22）｜土を掘れる（掘削力40）","","","","","","","","","","","","","","","","","","","","","76","","72","87","27","79","67","27","73","53","25","67","48","23","61","44","20","55","40","18","49","35","16","43","31","14","37","26","11","30","22","9","24","18"
"item_chipped_pickaxe","欠けたツルハシ","掘削","先が欠けた古いツルハシ。頼りないが、硬い岩に少しだけ対抗できる。","1","3","220","none","terrain:dig_hard:13:0","8","pierce","13","80","1.6","199","-35","outward","dig_tool,weapon,metal,heavy,hard_dig_tool,pointed","敵に刺突ダメージ（攻撃力8）｜硬い地形を掘れる（掘削力13）","65","48","31","81","44","21","51","23","10","5","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_pickaxe","ツルハシ","掘削","硬い岩を割るための道具。土より岩に強い。","2","7","370","none","terrain:dig_hard:20:0","10","pierce","20","145","1.8","4","-35","outward","dig_tool,weapon,metal,heavy,hard_dig_tool,pointed","敵に刺突ダメージ（攻撃力10）｜硬い地形を掘れる（掘削力20）","","","34","","47","39","75","51","30","35","17","8","9","4","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_steel_pickaxe","鋼のツルハシ","掘削","鋼で補強されたツルハシ。硬い岩にも安定して食い込む。","5","15","670","none","terrain:dig_hard:28:0","15","pierce","28","180","1.95","200","-35","outward","dig_tool,weapon,metal,heavy,hard_dig_tool,pointed","敵に刺突ダメージ（攻撃力15）｜硬い地形を掘れる（掘削力28）","","","","","","","","","37","","56","57","57","62","44","45","39","23","11","9","5","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_rockbreaker_pickaxe","砕岩のツルハシ","掘削","分厚い岩盤を砕くために作られた重いツルハシ。硬い地形に特に強い。","8","22","950","none","terrain:dig_hard:36:0","19","pierce","36","220","2.1","5","-35","outward","dig_tool,weapon,metal,heavy,hard_dig_tool,pointed","敵に刺突ダメージ（攻撃力19）｜硬い地形を掘れる（掘削力36）","","","","","","","","","","","","","","","58","","56","75","39","72","58","31","45","30","12","16","11","8","10","6","7","9","6","7","9","5","6","8","5","5","7","4","5","6","4","4","5","3","3","4","3","3","3","2"
"item_sky_pickaxe","天空ツルハシ","掘削","空の魔力を帯びたツルハシ。重さを感じにくく、硬い地層を深く割る。","10","28","1290","none","terrain:dig_hard:44:0","23","pierce","44","255","1.9","201","-35","outward","dig_tool,weapon,metal,heavy,magic,hard_dig_tool,pointed","敵に刺突ダメージ（攻撃力23）｜硬い地形を掘れる（掘削力44）","","","","","","","","","","","","","","","","","","","","","76","","72","87","27","79","67","27","73","53","25","67","48","23","61","44","20","55","40","18","49","35","16","43","31","14","37","26","11","30","22","9","24","18"
